fiscal_year,naics4,category,dollars,actions
2022,,all,992119615.16,245
2022,,small_business,2461800.20,75
2022,,sdb,42893.00,24
2022,,eight_a,42893.00,15
2022,,wosb,0.00,5
2022,,edwosb,0.00,3
2022,,hubzone,0.00,2
2022,,sdvosb,0.00,6
2022,,vosb,0.00,10
2022,,woman_owned,721.61,10
2022,0000,all,0.00,2
2022,0000,small_business,0.00,2
2022,1111,all,307782.65,86
2022,1111,small_business,646178.24,33
2022,1111,sdb,336686.76,13
2022,1111,wosb,69915.20,3
2022,1111,hubzone,15000.00,1
2022,1111,sdvosb,31039.44,1
2022,1111,vosb,31039.44,1
2022,1111,woman_owned,69915.20,3
2022,1112,all,503786.64,17
2022,1112,small_business,462980.64,13
2022,1112,sdb,16800.00,1
2022,1112,wosb,11712.00,3
2022,1112,edwosb,11712.00,3
2022,1112,woman_owned,11712.00,3
2022,1113,all,8488344.12,14
2022,1113,small_business,2107765.98,5
2022,1113,sdb,2126530.18,4
2022,1113,wosb,2086371.98,1
2022,1113,hubzone,2086371.98,1
2022,1113,woman_owned,2086371.98,1
2022,1114,all,1340973.25,64
2022,1114,small_business,1062261.84,38
2022,1114,sdb,344240.64,18
2022,1114,eight_a,457600.00,1
2022,1114,wosb,18619.00,6
2022,1114,edwosb,6000.00,3
2022,1114,sdvosb,-40061.25,7
2022,1114,vosb,-22495.20,8
2022,1114,woman_owned,150086.23,10
2022,1119,all,12039706.78,185
2022,1119,small_business,7296145.94,111
2022,1119,sdb,3409255.84,51
2022,1119,eight_a,-6541.00,1
2022,1119,wosb,2638426.72,28
2022,1119,edwosb,208984.10,6
2022,1119,sdvosb,1917389.27,22
2022,1119,vosb,1917389.27,22
2022,1119,woman_owned,2725286.72,30
2022,1121,all,1553427.97,77
2022,1121,small_business,588316.35,35
2022,1121,sdb,492158.03,22
2022,1121,wosb,385345.23,17
2022,1121,sdvosb,0.00,2
2022,1121,vosb,0.00,2
2022,1121,woman_owned,443674.79,20
2022,1122,all,172847.08,41
2022,1122,small_business,56572.70,12
2022,1122,sdb,10000.00,3
2022,1122,wosb,30185.00,4
2022,1122,woman_owned,30185.00,4
2022,1123,all,1421379.65,57
2022,1123,small_business,487514.55,41
2022,1123,sdb,170451.23,22
2022,1123,wosb,55257.00,11
2022,1123,hubzone,43442.18,2
2022,1123,sdvosb,43442.18,2
2022,1123,vosb,43442.18,2
2022,1123,woman_owned,67332.00,12
2022,1124,all,2694696.30,63
2022,1124,small_business,2694696.30,63
2022,1124,sdb,451278.00,5
2022,1124,wosb,2360748.15,55
2022,1124,woman_owned,2635376.15,59
2022,1125,all,3597178.08,36
2022,1125,small_business,461204.79,15
2022,1125,sdb,168317.70,6
2022,1125,vosb,13800.00,1
2022,1129,all,59931884.16,594
2022,1129,small_business,7244736.73,249
2022,1129,sdb,2664761.51,104
2022,1129,wosb,933694.64,51
2022,1129,edwosb,80036.00,5
2022,1129,sdvosb,1964927.31,56
2022,1129,vosb,2274157.21,66
2022,1129,woman_owned,988074.64,63
2022,1131,all,402255.33,30
2022,1131,small_business,133604.73,21
2022,1131,sdb,17596.00,1
2022,1131,wosb,42865.74,2
2022,1131,edwosb,42865.74,2
2022,1131,vosb,27334.00,3
2022,1131,woman_owned,42865.74,2
2022,1132,all,18903817.23,263
2022,1132,small_business,15574068.97,227
2022,1132,sdb,8621003.34,71
2022,1132,eight_a,354678.12,3
2022,1132,hubzone,397001.60,5
2022,1132,sdvosb,69750.00,2
2022,1132,vosb,744890.56,18
2022,1132,woman_owned,-12.00,1
2022,1133,all,3809921.20,70
2022,1133,small_business,3752352.47,55
2022,1133,sdb,637611.11,31
2022,1133,wosb,1263194.98,6
2022,1133,edwosb,0.00,1
2022,1133,sdvosb,0.00,1
2022,1133,vosb,33184.00,10
2022,1133,woman_owned,1263156.92,8
2022,1141,all,3543054.20,140
2022,1141,small_business,2867432.73,126
2022,1141,sdb,156340.27,17
2022,1141,wosb,2053137.42,12
2022,1141,edwosb,11583.00,1
2022,1141,hubzone,47374.68,4
2022,1141,sdvosb,45059.16,3
2022,1141,vosb,45059.16,3
2022,1141,woman_owned,2053137.42,12
2022,1142,all,949531.83,43
2022,1142,small_business,798649.30,39
2022,1142,sdb,402810.50,16
2022,1142,wosb,358220.00,9
2022,1142,edwosb,100000.00,5
2022,1142,sdvosb,93650.00,3
2022,1142,vosb,109610.00,4
2022,1142,woman_owned,508197.50,10
2022,1151,all,24034605.94,516
2022,1151,small_business,22104912.74,438
2022,1151,sdb,9586724.04,130
2022,1151,eight_a,3204735.14,24
2022,1151,wosb,1965533.32,39
2022,1151,edwosb,847004.94,16
2022,1151,hubzone,660925.94,15
2022,1151,sdvosb,2276223.72,29
2022,1151,vosb,3457125.36,66
2022,1151,woman_owned,1984067.83,45
2022,1152,all,78261051.37,534
2022,1152,small_business,60399935.20,463
2022,1152,sdb,18598628.74,114
2022,1152,eight_a,979908.24,14
2022,1152,wosb,5896914.75,37
2022,1152,edwosb,0.00,1
2022,1152,hubzone,8630.50,5
2022,1152,sdvosb,40728.00,1
2022,1152,vosb,1193022.95,18
2022,1152,woman_owned,8911687.77,51
2022,1153,all,1041373549.34,23408
2022,1153,small_business,882557675.57,22224
2022,1153,sdb,354618771.70,8753
2022,1153,eight_a,59352277.31,687
2022,1153,wosb,139722916.90,3534
2022,1153,edwosb,44477392.09,1135
2022,1153,hubzone,77119689.70,1771
2022,1153,sdvosb,34986024.40,1040
2022,1153,vosb,84920829.90,2264
2022,1153,woman_owned,161403975.60,4404
