fiscal_year,category,total_dollars,order_dollars,standalone_dollars,order_share_pct,order_actions,standalone_actions,order_action_share_pct
2022,all,694675306775.21,371957882998.15,322717423777.06,53.54,5454636,1213131,81.81
2022,small,155960184996.42,102983191722.97,52976993273.45,66.03,2543843,819509,75.63
2022,wosb,24356738472.08,17445300194.15,6911438277.93,71.62,315596,159142,66.48
2022,edwosb,10247538377.73,6987917683.25,3259620694.48,68.19,103614,48750,68.0
2023,all,760350254730.13,426969587980.32,333380666749.81,56.15,5480178,1213501,81.87
2023,small,172833826207.83,115706338679.13,57127487528.7,66.95,2497792,827244,75.12
2023,wosb,27492164323.73,19490761734.33,8001402589.4,70.9,318199,178004,64.13
2023,edwosb,11480961373.26,7688955066.66,3792006306.6,66.97,103224,48101,68.21
2024,all,756289146343.07,449500276247.88,306788870095.18,59.43,5443472,1248724,81.34
2024,small,177102621009.26,120696929705.61,56405691303.65,68.15,2495614,872101,74.1
2024,wosb,27563409957.05,20557206309.28,7006203647.77,74.58,302963,191780,61.24
2024,edwosb,10389541332.98,8000133559.55,2389407773.43,77.0,89913,44621,66.83
2025,all,793013859873.59,457566624342.56,335447235531.03,57.7,5325098,1312349,80.23
2025,small,172842405914.52,118732133938.79,54110271975.73,68.69,2463049,928504,72.62
2025,wosb,26244157675.51,19516222941.34,6727934734.17,74.36,283383,193737,59.39
2025,edwosb,8688439516.05,6729679772.7,1958759743.35,77.46,68422,40916,62.58
2026,all,441560816706.8,247972517481.34,193588299225.46,56.16,2695172,681063,79.83
2026,small,81204133881.97,57374659971.13,23829473910.84,70.65,1242508,497826,71.39
2026,wosb,12566066502.1,9549016719.33,3017049782.77,75.99,129909,104959,55.31
2026,edwosb,3324496996.96,2776572388.61,547924608.35,83.52,26820,16165,62.39
