fiscal_year,completeness,category,vendors,dollars,dollars_per_vendor_M
2022,final,Small business,62862,163242640900.24,2.5968413493086437
2022,final,WOSB,12955,27937774587.68,2.1565244760849094
2022,final,WOSB (strict),11001,25531261457.050003,2.3208127858421967
2022,final,SDB,24228,73949533095.29,3.0522343196008745
2022,final,8(a),3960,21426891483.75,5.410831182765151
2022,final,VOSB,9051,36552536912.399994,4.038508110971162
2022,final,SDVOSB,5325,28861234962.02,5.419950227609389
2022,final,HUBZone,2525,14326026026.09,5.67367367369901
2023,final,Small business,61827,180379579402.04,2.917488789720349
2023,final,WOSB,12877,30576290219.25,2.374488640152986
2023,final,WOSB (strict),11117,28620533524.190002,2.574483540900423
2023,final,SDB,25036,83275810711.62,3.3262426390645468
2023,final,8(a),3979,25018336338.91,6.287593952980648
2023,final,VOSB,9005,40604856612.69,4.509145653824542
2023,final,SDVOSB,5550,32784368758.940002,5.907093470079279
2023,final,HUBZone,2366,15489330135.52,6.546631502755706
2024,final,Small business,61249,185228254615.99,3.024184143675652
2024,final,WOSB,12558,31145213665.480003,2.480109385688804
2024,final,WOSB (strict),11063,29219405439.800003,2.6411828111542985
2024,final,SDB,25385,84663805659.79001,3.33519029583573
2024,final,8(a),3924,26691661168.379997,6.802156261055045
2024,final,VOSB,8917,40540794452.05,4.546461192334866
2024,final,SDVOSB,5730,33594668119.22,5.862943825343804
2024,final,HUBZone,2338,15326410783.87,6.555351062390933
2025,final,Small business,56728,183467095008.47,3.234154121570829
2025,final,WOSB,11550,29485116888.789997,2.552823973055411
2025,final,WOSB (strict),10313,28109780094.82,2.7256647042393096
2025,final,SDB,23891,82911677255.51001,3.4704146856770333
2025,final,8(a),3714,26234195479.19,7.063595982549811
2025,final,VOSB,8577,40063803000.02,4.67107415180366
2025,final,SDVOSB,5804,33674866410.73,5.8020100638749135
2025,final,HUBZone,2201,15113221676.31,6.866525068746025
2026,partial,Small business,36758,85882243678.89,2.336423191655966
2026,partial,WOSB,7555,13836464194.14,1.8314313956505623
2026,partial,WOSB (strict),6801,13265693966.45,1.9505505023452434
2026,partial,SDB,15683,37183713369.509995,2.3709566645099787
2026,partial,8(a),2561,9576205073.66,3.739244464529481
2026,partial,VOSB,6216,20944749759.870003,3.3694899871090738
2026,partial,SDVOSB,4486,18274124247.39,4.073589890189478
2026,partial,HUBZone,1611,5953138893.12,3.6953065754934826
